FIPS,REGION_ID,STATE,County,X,Y,LBC_MORTALITY_RATE,Year,SMOKING,POVERTY,PM25,NO2,SO2,Urban_Rural,Coal_Production
1001,3,Alabama,Autauga County,872679.179,1094432.99,90.63,1998,27,11.3,17.08,1.38,0.057,Medium/small metro,No
1001,3,Alabama,Autauga County,872679.179,1094432.99,90.39,1999,26,11.4,15.38,1.04,0.055,Medium/small metro,No
1001,3,Alabama,Autauga County,872679.179,1094432.99,89.47,2000,26,10.5,14.04,1.47,0.054,Medium/small metro,No
1001,3,Alabama,Autauga County,872679.179,1094432.99,89.3,2001,26.5,10.8,13.87,1.74,0.051,Medium/small metro,No
1001,3,Alabama,Autauga County,872679.179,1094432.99,89.15,2002,26.6,10.3,14.85,1.1,0.052,Medium/small metro,No
1001,3,Alabama,Autauga County,872679.179,1094432.99,87.26,2003,26.3,10.4,13.88,0.9,0.053,Medium/small metro,No
1001,3,Alabama,Autauga County,872679.179,1094432.99,84.98,2004,27.1,11.6,12.61,1.1,0.05,Medium/small metro,No
1001,3,Alabama,Autauga County,872679.179,1094432.99,85.56,2005,26.4,10.4,12.59,1.17,0.055,Medium/small metro,No
1001,3,Alabama,Autauga County,872679.179,1094432.99,84.34,2006,26.3,12.5,12.92,0.84,0.055,Medium/small metro,No
1001,3,Alabama,Autauga County,872679.179,1094432.99,82,2007,25.6,10.4,12.57,0.77,0.056,Medium/small metro,No
1001,3,Alabama,Autauga County,872679.179,1094432.99,82.09,2008,25.6,10.7,8.9,0.89,0.049,Medium/small metro,No
1001,3,Alabama,Autauga County,872679.179,1094432.99,80.1,2009,25,11.2,9.29,0.63,0.037,Medium/small metro,No
1001,3,Alabama,Autauga County,872679.179,1094432.99,77.85,2010,25.8,11.9,10.99,0.51,0.027,Medium/small metro,No
1001,3,Alabama,Autauga County,872679.179,1094432.99,78.07,2011,25.8,14.9,10.27,0.64,0.029,Medium/small metro,No
1001,3,Alabama,Autauga County,872679.179,1094432.99,79.59,2012,25.1,11.4,12.62,0.98,0.02,Medium/small metro,No
1003,3,Alabama,Baldwin County,789777.5039,884557.0795,72.03,1998,25.9,11,13.13,1.43,0.082,Medium/small metro,No
1003,3,Alabama,Baldwin County,789777.5039,884557.0795,71,1999,26,10.5,12.55,1.15,0.08,Medium/small metro,No
1003,3,Alabama,Baldwin County,789777.5039,884557.0795,70.74,2000,26.4,9.7,11.97,1.15,0.081,Medium/small metro,No
1003,3,Alabama,Baldwin County,789777.5039,884557.0795,71.48,2001,26.7,11.1,11.01,1.16,0.077,Medium/small metro,No
1003,3,Alabama,Baldwin County,789777.5039,884557.0795,69.97,2002,25.6,10.7,11.05,1.11,0.071,Medium/small metro,No
1003,3,Alabama,Baldwin County,789777.5039,884557.0795,69.49,2003,25.4,10.1,10.46,0.97,0.066,Medium/small metro,No
1003,3,Alabama,Baldwin County,789777.5039,884557.0795,67.2,2004,25.6,10,10.58,1.06,0.06,Medium/small metro,No
1003,3,Alabama,Baldwin County,789777.5039,884557.0795,65.39,2005,25.5,11.4,10.52,1.23,0.061,Medium/small metro,No
