FIPS,State,County,X,Y,POP_Total,Diabetes_count,Diabetes_per,Obesity,Access_Excercise,Physical_Inactivity,PCP_rate,Food_Env_Index,SVI,Urban_Rural
10001,Delaware,Kent County,1737530.538,1972072.594,178926.0,17767,11.82,37.7,66.4,28.88,46.0,7.8,0.8444,Urban
10003,Delaware,New Castle County,1719077.989,2024828.341,559279.8,44772,9.5,30.1,96.6,23.52,88.0,8.1,0.4733,Urban
10005,Delaware,Sussex County,1762733.34,1928788.66,230143.8,23754,9.58,33.46,73.4,27.84,61.0,8.2,0.4898,Urban
11001,District of Columbia,District Of Columbia,1620145.774,1926595.621,699232.4,43663,8.72,24.5,100.0,18.1,120.6,8.4,0.6502,Urban
13001,Georgia,Appling County,1288990.75,1057012.927,18433.4,1339,8.42,24.02,27.4,18.62,37.0,6.5,0.8892,Rural
13003,Georgia,Atkinson County,1240686.99,999295.872,8294.0,502,7.84,21.46,37.3,16.2,17.9,6.3,0.9052,Rural
13005,Georgia,Bacon County,1276775.865,1033243.564,11215.2,700,7.64,21.62,60.4,17.2,59.0,7.3,0.9332,Rural
13007,Georgia,Baker County,1093091.067,983304.1776,3090.2,249,7.84,19.88,6.0,17.04,17.9,3.7,0.6996,Urban
13009,Georgia,Baldwin County,1179525.219,1190286.64,44972.4,3059,8.28,27.48,66.4,19.98,50.4,6.0,0.887,Urban
13011,Georgia,Banks County,1137907.672,1329501.639,18921.0,1321,7.78,22.86,40.6,18.86,20.0,8.2,0.5102,Rural
13013,Georgia,Barrow County,1123623.574,1286900.033,81164.8,5635,9.34,29.12,68.0,23.34,22.8,7.9,0.5255,Urban
13015,Georgia,Bartow County,1017773.77,1301385.213,106486.6,7674,8.9,26.92,75.4,24.7,41.0,7.0,0.6343,Urban
13017,Georgia,Ben Hill County,1201807.39,1045952.93,16868.0,1231,8.52,25.82,43.6,22.46,49.8,5.4,0.9558,Urban
13019,Georgia,Berrien County,1208146.786,992422.7947,19247.2,1546,9.2,27.5,41.8,20.58,19.0,6.7,0.7018,Rural
13021,Georgia,Bibb County,1142177.553,1155786.935,152922.6,16063,13.08,33.84,77.6,27.2,137.4,5.9,0.9564,Urban
13023,Georgia,Bleckley County,1181765.025,1119115.174,12893.2,826,7.58,25.28,77.8,20.14,35.8,6.6,0.6321,Rural
13025,Georgia,Brantley County,1326661.912,1000420.533,18858.8,1250,7.58,24.52,31.4,19.1,16.0,7.4,0.4761,Urban
13027,Georgia,Brooks County,1181516.343,940200.0498,15520.2,1206,8.26,23.78,33.6,20.26,20.4,7.1,0.8994,Urban
13029,Georgia,Bryan County,1363361.497,1097965.828,38356.2,2234,8.62,26.02,80.2,19.16,73.2,7.9,0.3555,Urban
13031,Georgia,Bulloch County,1329138.939,1135899.882,77722.8,5434,10.26,30.22,38.8,22.14,53.6,6.5,0.8253,Urban
13033,Georgia,Burke County,1294398.008,1205638.256,22532.8,1762,9.44,23.5,50.0,20.32,33.8,6.5,0.6846,Urban
13035,Georgia,Butts County,1111388.857,1205843.94,24486.2,1894,9.1,21.42,57.8,17.38,23.0,7.3,0.7237,Urban
13037,Georgia,Calhoun County,1073561.977,1003649.305,6310.2,483,8.86,19.12,0.0,17.56,15.8,6.2,0.9545,Rural
13039,Georgia,Camden County,1360362.387,975480.8504,53956.6,4121,10.24,31.28,63.4,23.38,29.4,6.7,0.6025,Urban
13043,Georgia,Candler County,1298399.5,1132052.351,10866.2,763,8.06,21.66,57.6,16.46,27.8,7.0,0.9914,Rural
13045,Georgia,Carroll County,1004456.194,1226100.569,118763.8,9543,10.52,30.6,55.6,27.54,47.4,6.6,0.768,Urban
13047,Georgia,Catoosa County,982225.8689,1372225.108,67188.8,5699,9.64,28.84,77.6,22.98,48.6,7.6,0.2753,Urban
13049,Georgia,Charlton County,1318756.006,952508.0788,13000.4,899,8.08,23.1,75.2,18.1,32.4,6.9,0.9456,Rural
13051,Georgia,Chatham County,1392412.033,1101415.414,289534.2,22261,9.56,29.06,86.8,22.98,90.6,6.9,0.8323,Urban
13053,Georgia,Chattahoochee County,1047514.925,1092319.577,10681.4,350,7.86,20.22,72.2,16.0,78.8,4.0,0.7428,Urban
13055,Georgia,Chattooga County,968986.5888,1322457.969,24803.2,1923,8.78,26.54,42.8,20.42,8.0,6.6,0.9122,Urban
13057,Georgia,Cherokee County,1050761.13,1306115.374,253491.6,18563,9.0,28.64,87.8,20.14,40.6,8.4,0.2228,Urban
13059,Georgia,Clarke County,1155637.238,1286419.257,127045.4,7506,9.0,26.1,84.2,20.44,71.2,5.0,0.8211,Urban
13061,Georgia,Clay County,1039034.904,1010413.014,2913.8,259,8.6,22.32,29.6,19.32,34.4,4.2,0.9411,Rural
13063,Georgia,Clayton County,1071151.413,1229322.893,287826.4,23555,12.06,34.48,77.8,30.74,26.4,5.8,0.9539,Urban
13065,Georgia,Clinch County,1262954.262,959490.1139,6680.8,442,8.0,20.88,4.2,16.8,15.0,6.5,0.9427,Rural
13067,Georgia,Cobb County,1045720.264,1271398.865,756770.8,47146,8.1,27.82,91.0,20.04,73.8,7.8,0.4227,Urban
13069,Georgia,Coffee County,1239676.066,1027479.846,43122.0,3401,10.18,24.1,58.2,24.28,55.0,6.9,0.9675,Urban
13071,Georgia,Colquitt County,1158669.438,976083.7313,45655.4,3590,9.88,27.14,63.6,24.76,43.6,6.7,0.9809,Urban
13073,Georgia,Columbia County,1262487.034,1255436.349,154082.2,10645,8.92,29.96,77.6,23.32,104.2,8.6,0.1645,Urban
13075,Georgia,Cook County,1191026.254,976480.7218,17233.4,1482,10.32,23.88,61.0,24.58,60.4,7.1,0.8908,Rural
13077,Georgia,Coweta County,1036448.997,1204099.492,145772.4,11161,9.42,28.52,58.4,23.62,48.8,7.8,0.2963,Urban
13079,Georgia,Crawford County,1116766.6,1142102.125,12314.0,974,8.26,20.94,8.2,18.4,8.0,7.3,0.5395,Urban
13081,Georgia,Crisp County,1148323.713,1057203.733,22492.8,1883,9.46,24.22,60.8,20.92,74.6,5.6,0.9933,Urban
13083,Georgia,Dade County,949876.9767,1363028.669,16188.2,1147,7.66,21.62,68.8,19.44,34.6,8.1,0.5675,Urban
13085,Georgia,Dawson County,1075715.83,1331660.446,25257.4,1880,7.8,24.36,93.4,17.56,68.4,8.7,0.1887,Urban
13087,Georgia,Decatur County,1086388.993,932261.3744,26594.8,2321,10.4,25.2,63.8,22.26,42.8,6.5,0.9602,Urban
13089,Georgia,Dekalb County,1079948.559,1256389.654,754287.6,55855,9.76,26.1,94.2,19.5,108.4,6.9,0.8164,Urban
13091,Georgia,Dodge County,1200452.766,1092122.291,20611.0,1897,10.06,24.36,52.2,22.08,38.0,7.2,0.8173,Rural
13093,Georgia,Dooly County,1142014.884,1082724.612,13554.0,1352,10.32,25.06,26.0,18.56,8.8,5.7,0.9192,Rural
13095,Georgia,Dougherty County,1111782.166,1008830.392,89039.0,8676,12.2,32.4,73.0,27.54,79.8,4.2,0.9723,Urban
13097,Georgia,Douglas County,1031382.337,1242709.45,145153.6,11727,10.7,29.32,77.6,24.1,37.8,6.9,0.6929,Urban
13099,Georgia,Early County,1049875.392,977774.6751,10221.8,797,8.78,21.22,58.8,20.54,62.6,6.5,0.9656,Rural
13101,Georgia,Echols County,1248348.27,934440.3294,3981.2,214,7.18,19.74,18.5,15.9,17.9,7.2,0.5175,Urban
13103,Georgia,Effingham County,1366794.276,1138324.102,62189.0,4326,9.36,28.22,57.4,21.66,23.0,8.3,0.3351,Urban
