FIPS,State,County,X,Y,POP_Total,Diabetes_count,Diabetes_per,Obesity,Access_Excercise,Physical_Inactivity,PCP_rate,Food_Env_Index,SVI,Urban_Rural
9001,Connecticut,Fairfield County,1861863.825,2251708.214,944735.8,52448,6.42,21.48,96.6,17.34,93.8,8.5,0.6184,Urban
9003,Connecticut,Hartford County,1900269.968,2323058.093,892284.0,67168,8.58,27.66,96.6,20.2,95.2,8.0,0.5955,Urban
9005,Connecticut,Litchfield County,1859618.764,2311363.344,181160.4,12023,6.38,26.56,85.6,17.5,59.4,8.6,0.1512,Urban
9007,Connecticut,Middlesex County,1925466.445,2289801.725,162702.8,10215,6.32,26.42,94.8,17.06,73.8,8.4,0.1843,Urban
9009,Connecticut,New Haven County,1894969.234,2276090.852,856327.0,66825,8.84,29.64,95.4,20.78,88.2,7.9,0.6512,Urban
9011,Connecticut,New London County,1959597.493,2301208.01,267164.6,18957,7.76,30.0,91.6,19.44,64.2,7.8,0.3959,Urban
9013,Connecticut,Tolland County,1930655.593,2336303.275,150964.2,9478,7.36,25.42,80.8,17.4,51.6,8.1,0.1073,Urban
9015,Connecticut,Windham County,1959231.225,2340738.908,116580.0,9850,9.42,29.6,84.0,21.94,45.8,7.9,0.4799,Urban
23001,Maine,Androscoggin County,2031239.325,2630106.589,107894.6,9326,9.68,32.28,84.8,23.16,83.8,7.7,0.5614,Urban
23003,Maine,Aroostook County,2075853.79,2931078.617,67316.4,7367,10.44,36.38,52.4,28.78,106.8,7.3,0.5757,Rural
23005,Maine,Cumberland County,2027795.168,2591394.763,294242.4,19129,7.02,23.0,84.2,15.5,168.0,8.1,0.1789,Urban
23007,Maine,Franklin County,1989058.799,2711809.875,30014.2,2228,7.32,31.78,52.2,20.92,107.2,7.9,0.4118,Rural
23009,Maine,Hancock County,2157356.825,2721899.997,54760.4,3869,6.62,26.76,68.8,17.8,135.2,8.1,0.2043,Rural
23011,Maine,Kennebec County,2057410.389,2665661.284,121946.0,10216,8.6,32.58,79.6,21.96,121.6,7.9,0.3125,Urban
23013,Maine,Knox County,2113231.391,2648682.727,39805.6,2740,6.44,26.36,53.2,17.1,101.8,8.1,0.1684,Rural
23015,Maine,Lincoln County,2085251.75,2633523.819,34434.2,2532,6.56,23.64,58.8,17.86,112.2,8.3,0.204,Rural
23017,Maine,Oxford County,1979241.944,2654172.908,57676.2,4714,7.98,32.1,43.2,22.98,62.8,7.7,0.3173,Rural
23019,Maine,Penobscot County,2111427.469,2795785.787,151732.4,13991,9.96,33.24,64.4,23.4,130.4,7.4,0.4249,Urban
23021,Maine,Piscataquis County,2050311.863,2828630.526,16839.4,1692,8.94,34.68,48.4,24.38,69.2,7.4,0.493,Rural
23023,Maine,Sagadahoc County,2064500.012,2615521.788,35639.8,2582,7.12,25.22,83.0,17.98,65.2,8.3,0.0665,Urban
23025,Maine,Somerset County,2009791.168,2779415.496,50650.4,4922,9.66,32.24,50.2,25.06,57.0,7.1,0.4659,Rural
23027,Maine,Waldo County,2102157.804,2689208.494,39705.6,3126,7.7,29.68,51.6,19.18,73.0,7.8,0.2693,Rural
23029,Maine,Washington County,2200344.806,2778884.341,31477.0,2922,8.84,32.32,48.2,25.24,55.0,7.1,0.6957,Rural
23031,Maine,York County,2012283.996,2545360.521,205894.0,15887,7.84,29.6,78.0,20.22,75.6,8.2,0.1719,Urban
25001,Massachusetts,Barnstable County,2097611.241,2365435.512,213457.4,16036,6.32,21.84,90.0,15.94,96.2,8.3,0.0961,Urban
25003,Massachusetts,Berkshire County,1847370.995,2374890.176,125815.8,10446,8.0,23.06,85.8,19.02,114.0,8.2,0.367,Urban
25005,Massachusetts,Bristol County,2029849.597,2355488.473,563162.2,41767,8.32,28.62,93.4,23.3,52.4,8.2,0.5875,Urban
25007,Massachusetts,Dukes County,2078258.812,2322339.478,17343.2,1247,6.74,22.74,84.4,15.68,66.8,8.7,0.1136,Urban
25009,Massachusetts,Essex County,2017300.671,2453418.655,787031.6,55200,7.92,25.7,96.0,20.7,74.2,8.7,0.6085,Urban
25011,Massachusetts,Franklin County,1890407.457,2410123.512,70498.8,5428,7.48,26.32,77.2,18.64,70.6,8.4,0.3689,Urban
25013,Massachusetts,Hampden County,1899474.329,2360771.436,467809.8,34751,8.6,29.78,94.4,24.58,68.2,8.1,0.8234,Urban
25015,Massachusetts,Hampshire County,1891312.987,2382363.237,161447.2,8482,6.12,20.82,85.4,16.34,136.4,8.1,0.2575,Urban
25017,Massachusetts,Middlesex County,1987916.471,2424042.815,1605702.6,89187,6.54,21.2,97.0,17.34,126.8,9.1,0.2677,Urban
25019,Massachusetts,Nantucket County,2128102.887,2322918.653,11267.8,670,6.96,20.82,94.2,15.76,55.2,9.0,0.119,Rural
25021,Massachusetts,Norfolk County,2011873.918,2393019.975,703815.0,44303,7.08,22.58,94.4,18.36,126.8,9.1,0.2734,Urban
25023,Massachusetts,Plymouth County,2049257.925,2378821.619,518355.8,38358,8.08,26.32,86.4,21.22,63.2,8.8,0.2845,Urban
25025,Massachusetts,Suffolk County,2017755.972,2414379.712,798982.0,49312,8.5,21.76,100.0,20.2,150.0,8.1,0.7861,Urban
25027,Massachusetts,Worcester County,1951002.254,2398773.84,827275.6,57657,8.04,28.52,92.6,21.6,100.0,8.5,0.4398,Urban
33001,New Hampshire,Belknap County,1956049.259,2534932.499,61088.0,4718,7.46,29.64,85.0,19.44,64.0,8.6,0.183,Urban
33003,New Hampshire,Carroll County,1962921.978,2577742.681,48441.8,4107,7.26,26.98,82.0,19.28,89.2,9.0,0.1318,Rural
33005,New Hampshire,Cheshire County,1908044.364,2453356.845,76108.0,5398,7.42,30.64,73.0,18.28,69.0,8.6,0.2237,Urban
33007,New Hampshire,Coos County,1931607.691,2663377.455,31599.8,3208,9.56,34.18,71.8,23.86,115.8,8.0,0.508,Urban
33009,New Hampshire,Grafton County,1913162.575,2572336.564,89727.4,5467,6.3,24.74,88.2,17.7,197.2,8.5,0.2969,Urban
33011,New Hampshire,Hillsborough County,1950242.243,2463772.63,413693.0,30010,8.22,29.24,91.4,20.22,86.2,8.6,0.2543,Urban
33013,New Hampshire,Merrimack County,1942222.162,2505807.878,150588.6,10108,7.18,28.08,90.4,18.0,107.4,8.7,0.2215,Urban
33015,New Hampshire,Rockingham County,1994471.34,2483817.944,307973.2,21362,7.24,26.74,85.0,17.26,77.6,8.8,0.0261,Urban
