x,y,Aspect,ELEV,FRG,K_Factor,MAP,MAT,NDVI,NLCD,Silt_Clay,Slope,TPI,NLCD,SOC
-955285,1723795,190.9398804,3253.481445,3,0.215151519,509.1380005,1.762474775,0.555731118,4,43.66868591,16.04842949,-10.49580002,4,7.54283644206377
-735285,1973795,151.478363,1464.635742,2,0.212500006,346.0815125,9.494437218,0.598497808,7,48.34500122,1.105267882,-0.60607481,3,6.10220430843438
-975285,1103795,129.9813843,1441.645264,133,0.112800002,372.7460632,15.77169991,0.239590943,5,38.45999908,12.09024715,2.133631706,2,3.6117218513887
-395285,1883795,143.1756897,841.138855,2,0.319999993,548.8912354,10.72010231,0.483404428,6,87.08979797,2.587128639,-0.656106353,1,7.51027453691952
-925285,1173795,224.581604,1490.575562,3,0.283510625,357.7642212,14.42813873,0.215800941,5,53.86808395,6.122040749,0.59547013,2,2.37783048043714
-125285,1833795,150.0128784,419.5861816,2,0.355353534,767.0175171,12.05782795,0.596849382,7,82.46868896,1.145437121,0.111231007,3,8.05032827599047
-1095285,2403795,185.8374176,2967.365723,5,0.050000001,830.9177856,-0.038622431,0.469970703,4,35.65102005,27.05927086,-16.37533951,4,15.0960014364093
-1055285,1753795,196.5559692,2389.353516,3,0.260899991,478.2661133,6.742750168,0.601248145,4,62.63899994,9.503583908,-1.8574121,4,7.22259602835755
-1045285,1823795,196.9956818,1982.786865,5,0.191699997,388.7530823,8.865099907,0.262542874,5,60.01599884,10.94637489,-1.628842831,2,3.66557228555634
-905285,1663795,135.8628387,2806.069824,3,0.152020201,460.8344421,3.266313076,0.430523694,6,55.47272873,11.78174305,1.406989813,1,11.1035830564408
-695285,1293795,180.7173767,1354.118286,2,0.228888884,427.8643494,14.11732292,0.279127181,6,38.05151367,1.157252789,0.157609776,1,1.93274306899217
-1035285,1653795,184.8395081,2323.979492,3,0.260744691,649.7455444,6.712340355,0.633111596,4,36.64042664,15.2804594,5.273062229,4,10.7704810989567
-1045285,1393795,172.4735565,1925.662842,3,0.280000001,283.0557556,10.80383873,0.19608216,5,38.46363449,4.412589073,0.199736267,2,2.28861645302973
-255285,1823795,161.9149017,555.0169678,2,0.319999993,655.5966187,11.75170135,0.508221984,6,77.5329895,1.966247559,0.527737975,1,8.46307403840492
-865285,1563795,159.2884216,2402.858887,4,0.220500007,354.7432861,6.190649986,0.323901445,5,67.70899963,5.335697651,1.985425472,2,5.60536349840183
-725285,1903795,147.2341766,1628.238403,2,0.28448981,399.150116,9.905357361,0.306169301,7,56.67142868,1.277309179,-0.032643504,3,3.2415728226829
-1185285,2323795,193.8967896,2439.557617,4,0.141100004,715.241333,2.424399853,0.650286078,4,55.66600037,16.18062782,-16.93739891,4,15.5045012058464
-995285,1453795,184.1659851,1919.78064,3,0.344399989,262.3741455,10.56659985,0.165527865,5,46.29199982,4.518331051,2.663834095,2,2.51502336087287
-1145285,1553795,130.0225677,2082.726318,1,0.131600007,295.4006653,9.746800423,0.280416638,4,43.22000122,9.482102394,-0.526382267,4,3.83139380324881
-905285,2403795,218.7924652,1899.227661,1,0.2764,503.4313049,6.07254982,0.411708206,5,55.90599823,10.59119129,0.866532326,2,5.48665269814618
-685285,1653795,170.0548706,1502.894043,2,0.333499998,359.5325012,11.45114994,0.259927809,6,73.45999908,2.119858742,0.85435462,1,6.82001534580587
-325285,1693795,158.9977722,688.0963745,2,0.319999993,552.1947632,12.59040451,0.434991002,7,81.95050812,1.434406281,0.775147319,3,5.3319694313966
-875285,1673795,127.6492386,2323.365723,5,0.110526316,189.3290558,5.229421139,0.686913073,7,27.47368431,0.777003109,0.106694452,3,7.41779544763329
-945285,1853795,150.8699799,3086.61377,131,0.215757579,842.9190063,2.464242458,0.674912035,4,52.1707077,18.97701263,4.881810188,4,14.9635823500551
-385285,1863795,154.5374908,833.9614868,2,0.319999993,555.1739502,10.90151501,0.460781693,7,87.61515045,1.661178946,1.147143245,3,5.62007022160017
-885285,1553795,151.2268219,2537.279541,3,0.233645827,410.8275452,5.505781174,0.482945681,4,58.51250076,6.981811047,-3.436845779,4,8.4373217488159
-1105285,1793795,185.4899445,1773.27417,3,0.279684216,353.6268921,10.27321053,0.274275899,4,55.45052719,10.45973492,3.626513004,4,2.81790250120719
-725285,2253795,175.4345245,1467.106689,2,0.319999993,366.6679993,7.593939304,0.343389809,6,44.40000153,3.532222986,-0.587056458,1,5.00824544679818
-925285,2133795,197.785553,2191.008545,4,0.319999993,286.4629211,5.23514986,0.238442108,5,51.07400131,6.232162476,1.629930854,2,3.6292500613519
-865285,1173795,138.2922821,1935.648193,1,0.0614,467.2413025,11.22500038,0.364070594,5,60.79800034,3.976820946,-0.510610819,2,6.21033036221094
-595285,1763795,159.9627075,1335.306641,2,0.108333334,389.5254517,10.47921848,0.367808372,5,19.85000038,1.237805963,0.807192981,2,1.70593955803007
-465285,1573795,153.8948975,945.4185181,2,0.191326529,469.8343201,13.01153088,0.515076339,7,27.26326561,0.958610952,-0.103607997,3,3.47171223939
-1075285,2223795,201.0650635,2160.244385,4,0.309494942,269.4739685,2.783383846,0.23357898,5,35.77777863,2.737253189,0.703367531,2,3.28757233953644
-945285,2213795,138.0413361,2068.905273,4,0.275555551,314.759613,5.900606155,0.253842592,5,40.9505043,4.540611267,-0.764040172,2,2.58365882569602
-685285,2233795,152.669693,1530.741333,2,0.218367353,431.6625671,7.134285927,0.440028101,6,26.59489822,2.820473671,0.505843878,1,5.81349488100063
-85285,1673795,190.189621,435.3864441,2,0.319999993,866.8005981,13.11282635,0.628822863,6,83.40000153,1.123291135,-0.094402879,1,8.54506110546247
