"","Xloc","Yloc","Landuse","Rock"
"1",0.3,1.7,"Pasture","Sequanian"
"2",0.35,1.7,"Pasture","Sequanian"
"3",0.35,1.75,"Pasture","Sequanian"
"4",0.4,1.7,"Pasture","Kimmeridgian"
"5",0.4,1.75,"Forest","Kimmeridgian"
"6",0.4,1.8,"Forest","Kimmeridgian"
"7",0.4,1.85,"Forest","Sequanian"
"8",0.4,1.9,"Forest","Sequanian"
"9",0.4,2.1,"Meadow","Argovian"
"10",0.4,2.15,"Meadow","Argovian"
"11",0.4,2.2,"Meadow","Argovian"
"12",0.4,2.4,"Meadow","Argovian"
"13",0.4,2.45,"Meadow","Argovian"
"14",0.4,2.5,"Meadow","Argovian"
"15",0.4,2.55,"Meadow","Argovian"
"16",0.4,2.6,"Meadow","Argovian"
"17",0.4,2.65,"Meadow","Argovian"
"18",0.4,2.7,"Meadow","Argovian"
"19",0.45,1.7,"Pasture","Kimmeridgian"
"20",0.45,1.75,"Forest","Kimmeridgian"
"21",0.45,1.8,"Forest","Kimmeridgian"
"22",0.45,1.85,"Forest","Sequanian"
"23",0.45,1.9,"Forest","Sequanian"
"24",0.45,1.95,"Forest","Quaternary"
"25",0.45,2.1,"Meadow","Argovian"
"26",0.45,2.15,"Meadow","Argovian"
"27",0.45,2.2,"Meadow","Argovian"
"28",0.45,2.25,"Meadow","Argovian"
"29",0.45,2.4,"Meadow","Argovian"
"30",0.45,2.45,"Meadow","Argovian"
"31",0.45,2.5,"Meadow","Argovian"
"32",0.45,2.55,"Meadow","Argovian"
"33",0.45,2.6,"Meadow","Argovian"
"34",0.45,2.65,"Meadow","Argovian"
"35",0.45,2.7,"Meadow","Argovian"
"36",0.5,1.7,"Forest","Kimmeridgian"
"37",0.5,1.75,"Forest","Kimmeridgian"
"38",0.5,1.8,"Forest","Kimmeridgian"
"39",0.5,1.85,"Forest","Kimmeridgian"
"40",0.5,1.9,"Forest","Kimmeridgian"
"41",0.5,1.95,"Forest","Quaternary"
"42",0.5,2,"Forest","Quaternary"
"43",0.5,2.05,"Forest","Quaternary"
"44",0.5,2.1,"Forest","Argovian"
"45",0.5,2.15,"Forest","Argovian"
"46",0.5,2.2,"Forest","Argovian"
"47",0.5,2.25,"Meadow","Argovian"
"48",0.5,2.3,"Meadow","Argovian"
"49",0.5,2.35,"Meadow","Argovian"
"50",0.5,2.4,"Pasture","Argovian"
"51",0.5,2.45,"Pasture","Argovian"
"52",0.5,2.5,"Meadow","Argovian"
"53",0.5,2.55,"Meadow","Argovian"
"54",0.5,2.6,"Meadow","Argovian"
"55",0.5,2.65,"Forest","Argovian"
"56",0.5,2.7,"Forest","Argovian"
"57",0.55,1.7,"Forest","Kimmeridgian"
"58",0.55,1.75,"Forest","Kimmeridgian"
