"","X","Rock.type","Block.Ni","Cd","Ni"
"1",1,3,18.8143,0.91,18
"2",1.05,3,19.0906,NA,NA
"3",1.1,3,19.3527,NA,NA
"4",1.15,3,19.5329,NA,NA
"5",1.2,3,19.6341,NA,NA
"6",1.25,1,19.4704,NA,21.96
"7",1.3,1,18.0084,NA,NA
"8",1.35,1,16.3126,NA,NA
"9",1.4,1,14.5998,NA,NA
"10",1.45,1,12.8734,NA,NA
"11",1.5,1,11.2325,0.57,9.68
"12",1.55,1,10.3072,NA,NA
"13",1.6,1,9.4391,NA,NA
"14",1.65,1,8.5007,NA,NA
"15",1.7,1,7.5001,NA,NA
"16",1.75,1,6.6439,0.135,5.24
"17",1.8,1,6.6105,NA,NA
"18",1.85,1,6.8034,NA,NA
"19",1.9,1,7.0988,NA,NA
"20",1.95,1,7.491,NA,NA
"21",2,1,7.8604,NA,8.92
"22",2.05,1,7.7273,NA,NA
"23",2.1,1,7.5417,NA,NA
"24",2.15,1,7.3936,NA,NA
"25",2.2,1,7.2825,NA,NA
"26",2.25,1,7.4878,0.275,4.2
"27",2.3,1,9.4531,NA,NA
"28",2.35,1,11.7203,NA,NA
"29",2.4,1,14.0157,NA,NA
"30",2.45,1,16.3324,NA,NA
"31",2.5,1,18.5021,1.31,20.4
"32",2.55,1,19.5993,NA,NA
"33",2.6,1,20.5453,NA,NA
"34",2.65,1,21.4857,NA,NA
"35",2.7,3,22.4163,NA,NA
"36",2.75,3,23.5835,NA,20.64
"37",2.8,3,26.2634,NA,NA
"38",2.85,3,29.1786,NA,NA
"39",2.9,3,32.0478,NA,NA
"40",2.95,2,34.862,NA,NA
"41",3,2,37.0471,NA,43.68
"42",3.05,2,35.8367,NA,NA
"43",3.1,2,33.9413,NA,NA
"44",3.15,2,32.0144,NA,NA
"45",3.2,2,30.0587,NA,NA
"46",3.25,2,28.2595,3.925,26.12
"47",3.3,2,27.55,NA,NA
"48",3.35,2,27.0137,NA,NA
"49",3.4,2,26.443,NA,NA
"50",3.45,2,25.8375,NA,NA
"51",3.5,2,25.2887,1.325,24.6
"52",3.55,2,25.1742,NA,NA
"53",3.6,2,25.0974,NA,NA
"54",3.65,2,25.0001,NA,NA
"55",3.7,2,24.883,NA,NA
"56",3.75,2,24.6115,NA,26.2
"57",3.8,2,23.5111,NA,NA
"58",3.85,2,22.2664,NA,NA
"59",3.9,2,21.0226,NA,NA
"60",3.95,2,19.7839,NA,NA
"61",4,2,18.9304,2.12,14.52
"62",4.05,2,20.344,NA,NA
"63",4.1,2,22.1881,NA,NA
"64",4.15,2,24.1287,NA,NA
"65",4.2,4,26.1664,NA,NA
"66",4.25,4,27.8695,2.805,32.92
"67",4.3,4,27.0833,NA,NA
"68",4.35,4,25.8804,NA,NA
"69",4.4,4,24.6093,NA,NA
"70",4.45,4,23.2689,NA,NA
"71",4.5,4,21.9381,NA,21.04
"72",4.55,4,21.0031,NA,NA
"73",4.6,4,20.1055,NA,NA
"74",4.65,4,19.1945,NA,NA
"75",4.7,4,18.2731,NA,NA
"76",4.75,4,17.4839,1.485,15.84
"77",4.8,2,17.5288,NA,NA
"78",4.85,2,17.7162,NA,NA
"79",4.9,2,17.9145,NA,NA
"80",4.95,2,18.1235,NA,NA
"81",5,2,18.343,NA,NA
"82",5.05,2,18.5718,NA,NA
"83",5.1,2,18.7893,NA,NA
"84",5.15,2,18.974,NA,NA
"85",5.2,2,19.1231,NA,NA
"86",5.25,2,19.2347,NA,NA
"87",5.3,2,19.3092,NA,NA
"88",5.35,2,19.4009,NA,NA
"89",5.4,2,19.5672,NA,NA
"90",5.45,2,19.8128,NA,NA
"91",5.5,2,20.1402,NA,NA
"92",5.55,2,20.5493,NA,NA
"93",5.6,2,20.978,NA,NA
"94",5.65,2,21.3612,NA,NA
"95",5.7,2,21.6937,NA,NA
"96",5.75,2,21.9729,NA,NA
"97",5.8,2,22.1968,NA,NA
"98",5.85,2,22.3742,NA,NA
"99",5.9,2,22.5147,NA,NA
"100",5.95,2,22.6171,NA,NA
"101",6,2,22.6797,NA,NA
"102",6.05,2,22.7017,NA,NA
"103",6.1,2,22.7026,NA,NA
"104",6.15,2,22.7026,NA,NA
"105",6.2,2,22.7026,NA,NA
"106",6.25,2,22.7026,NA,NA
