"x","y","xm","ym","DIV_NAME","DIST_NAME","UPAZILA_NA","UNION_NAME","PH","SOM","K","CA","MG","N","P","S","B","CU","FE","MN","ZN","DEM","NDFI","NDVI","AEZ","LT","SDC","NEW_SPC","TEX","STYPE","AEZ_NAME","LT_Class","SDC_CLASS","New_SPC_Class","General_Soil_type","Topsoil_Texture","SPC","SPC_Class"
88.14159663,24.74348102,312060.019905075,2737820.28951611,"RAJSHAHI","CHAPAI","Shibganj","Durlabhpur",8.6,0.7,0.2,11.7,3.2,6,50,12,3.4,4,45,9,2,26.0540466308594,-0.211270317435265,0.562468707561493,11,"1","1",1,13,3,"High Ganges River Floodplain","Highland","Imperfectly Drained","Slow","Calcareous Brown Floodplain Soils","Silty Clay Loam",1,"Slow"
88.83859472,24.52533022,382351.373998609,2712884.90801697,"RAJSHAHI","RAJSHAHI","Baghmara","Bhabaniganj",5.5,0.8,0.1,5.8,2.2,26,4,19,2.4,5,129,1,3,15.6582317352295,-0.207490965723991,0.463240474462509,11,"1","1",1,11,6,"High Ganges River Floodplain","Highland","Imperfectly Drained","Slow","Noncalcareous Grey Floodplain Soils (non-saline)","Silt Loam",1,"Slow"
89.24270651,24.58956007,423328.359935899,2719712.41824528,"RAJSHAHI","BOGRA","Nandigram","Bhatgram",6.1,2.5,0.1,7.7,1.3,28,18,18,0.2,9.2,259,19,4.1,15.7394409179688,-0.115902572870255,0.507781028747559,25,"1","1",1,14,18,"Level Barind Tract","Highland","Imperfectly Drained","Slow","Shallow Grey Terrace Soils","Clay Loam",1,"Slow"
88.31024144,24.67844242,329029.598361389,2730395.73589625,"RAJSHAHI","CHAPAI","Nachole","Fatehpur",4.3,2.3,0.5,10,7.8,20,26,13,0.2,13.3,429,100,2.7,22.1944255828857,-0.0238509681075811,0.419794470071793,11,"1","1",1,16,5,"High Ganges River Floodplain","Highland","Imperfectly Drained","Slow","Calcareous Dark Grey Floodplain Soils","Clay",1,"Slow"
88.34873237,24.68330666,332931.325610176,2730887.03822982,"RAJSHAHI","CHAPAI","Nachole","Fatehpur",4.7,1.3,0.4,4.5,2.8,20,16,9,0.2,27.4,410,39.5,5.2,27.446662902832,-0.191102579236031,0.440059512853622,26,"1","1",1,16,5,"High Barind Tract","Highland","Imperfectly Drained","Slow","Calcareous Dark Grey Floodplain Soils","Clay",1,"Slow"
89.09795076,24.70544872,408756.195878254,2732633.36261172,"RAJSHAHI","BOGRA","Bogra sadar","Asekpur",5.4,2.2,0.1,4.4,0.9,0.1,24,20,0.6,5.4,123,6.2,1.8,15.0332889556885,-0.14946773648262,0.501871168613434,25,"1","1",1,14,18,"Level Barind Tract","Highland","Imperfectly Drained","Slow","Shallow Grey Terrace Soils","Clay Loam",1,"Slow"
88.98204697,24.15187489,396581.130601294,2671417.28899563,"RAJSHAHI","NATORE","Lalpur","Bilmaria",8.2,1.4,0.1,24.5,1.4,0.1,3,8,0.1,1.6,13,5,0.9,7.07436513900757,0.0404213815927505,0.0297938361763954,10,"1","1",1,11,1,"Active Ganges Floodplain","Highland","Imperfectly Drained","Slow","Calcareous Aluvium (non-saline)","Silt Loam",1,"Slow"
89.09867985,24.65605339,408794.01700882,2727163.1926008,"RAJSHAHI","NAOGAON","Raninagar","Kashimpur",6.8,1.1,0.2,5,2,0.1,5,94,0.3,2.3,27.6,18.4,0.3,15.2352228164673,-0.107034839689732,0.487002432346344,25,"1","1",1,14,18,"Level Barind Tract","Highland","Imperfectly Drained","Slow","Shallow Grey Terrace Soils","Clay Loam",1,"Slow"
88.92316122,24.90828454,391251.825884997,2755222.72361883,"RAJSHAHI","NAOGAON","Badalgachhi","Badalgachhi",5.7,1.7,0.1,4.6,1.5,0.1,5,15,0.6,3.1,204,7.6,0.5,18.9154834747314,-0.187299355864525,0.519273638725281,3,"1","1",1,9,6,"Tista Meander Floodplain","Highland","Imperfectly Drained","Slow","Noncalcareous Grey Floodplain Soils (non-saline)","Loam",1,"Slow"
89.28969283,24.60138428,428092.378153906,2720996.33743896,"RAJSHAHI","BOGRA","Nandigram","Bhatgram",6.1,2.5,0.1,5,0.5,28,22,16,0.1,2.9,188,8,3.6,18.5611743927002,-0.121312901377678,0.473272413015366,25,"1","1",1,14,18,"Level Barind Tract","Highland","Imperfectly Drained","Slow","Shallow Grey Terrace Soils","Clay Loam",1,"Slow"
